age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit,es_cliente_nuevo,tiene_doble_prestamo,duration_min,fecha_procesamiento
59,0,1,1,0,2343,1,0,2,5,8,44,1,-1,0,3,1,1,0,0.7333333333333333,2026-05-19 20:30:15
56,0,1,1,0,45,0,0,2,5,8,352,1,-1,0,3,1,1,0,5.866666666666666,2026-05-19 20:30:15
41,9,1,1,0,1270,1,0,2,5,8,306,1,-1,0,3,1,1,0,5.1,2026-05-19 20:30:15
55,7,1,1,0,2476,1,0,2,5,8,976,1,-1,0,3,1,1,0,16.266666666666666,2026-05-19 20:30:15
54,0,1,2,0,184,0,0,2,5,8,1081,2,-1,0,3,1,1,0,18.016666666666666,2026-05-19 20:30:15
42,4,2,2,0,0,1,1,2,5,8,958,2,-1,0,3,1,1,1,15.966666666666667,2026-05-19 20:30:15
56,4,1,2,0,830,1,1,2,6,8,181,1,-1,0,3,1,1,1,3.0166666666666666,2026-05-19 20:30:15
60,5,0,1,0,545,1,0,2,6,8,31,1,-1,0,3,1,1,0,0.5166666666666667,2026-05-19 20:30:15
37,9,1,1,0,1,1,0,2,6,8,1009,1,-1,0,3,1,1,0,16.816666666666666,2026-05-19 20:30:15
28,7,2,1,0,5090,1,0,2,6,8,247,3,-1,0,3,1,1,0,4.116666666666666,2026-05-19 20:30:15
38,0,2,1,0,100,1,0,2,7,8,1204,1,-1,0,3,1,1,0,20.066666666666666,2026-05-19 20:30:15
30,1,1,1,0,309,1,0,2,7,8,407,2,-1,0,3,1,1,0,6.783333333333333,2026-05-19 20:30:15
29,4,1,2,0,199,1,1,2,7,8,447,4,-1,0,3,1,1,1,7.45,2026-05-19 20:30:15
46,1,2,2,0,460,1,0,2,7,8,99,2,-1,0,3,1,1,0,1.65,2026-05-19 20:30:15
31,9,2,2,0,703,1,0,2,8,8,1372,2,-1,0,3,1,1,0,22.866666666666667,2026-05-19 20:30:15
35,4,0,2,0,3837,1,0,2,8,8,79,1,-1,0,3,1,1,0,1.3166666666666667,2026-05-19 20:30:15
32,1,2,0,0,611,1,0,2,8,8,935,3,-1,0,3,1,1,0,15.583333333333334,2026-05-19 20:30:15
49,7,1,1,0,-8,1,0,2,8,8,112,1,-1,0,3,1,1,0,1.8666666666666667,2026-05-19 20:30:15
41,0,1,1,0,55,1,0,2,8,8,114,2,-1,0,3,1,1,0,1.9,2026-05-19 20:30:15
49,0,0,1,0,168,1,1,2,8,8,904,1,-1,0,3,1,1,1,15.066666666666666,2026-05-19 20:30:15
28,0,0,1,0,785,1,0,2,8,8,825,2,-1,0,3,1,1,0,13.75,2026-05-19 20:30:15
43,4,2,2,0,2067,1,0,2,8,8,1172,1,-1,0,3,1,1,0,19.533333333333335,2026-05-19 20:30:15
43,4,0,2,0,388,1,0,2,8,8,542,2,-1,0,3,1,1,0,9.033333333333333,2026-05-19 20:30:15
43,1,1,0,0,-192,1,0,2,8,8,114,2,-1,0,3,1,1,0,1.9,2026-05-19 20:30:15
37,10,2,1,0,381,1,0,2,8,8,1415,2,-1,0,3,1,1,0,23.583333333333332,2026-05-19 20:30:15
35,1,2,1,0,40,1,0,2,9,8,1019,4,-1,0,3,1,1,0,16.983333333333334,2026-05-19 20:30:15
31,9,2,2,0,22,1,0,2,9,8,870,3,-1,0,3,1,1,0,14.5,2026-05-19 20:30:15
43,1,2,1,0,3,1,0,2,9,8,1358,3,-1,0,3,1,1,0,22.633333333333333,2026-05-19 20:30:15
31,0,1,1,0,307,1,0,2,9,8,931,1,-1,0,3,1,1,0,15.516666666666667,2026-05-19 20:30:15
28,1,2,1,0,759,1,0,2,9,8,1123,1,-1,0,3,1,1,0,18.716666666666665,2026-05-19 20:30:15
32,1,1,1,1,-1,1,0,2,9,8,1059,1,-1,0,3,1,1,0,17.65,2026-05-19 20:30:15
60,9,1,0,0,65,1,0,2,9,8,28,2,-1,0,3,1,1,0,0.4666666666666667,2026-05-19 20:30:15
26,1,2,1,0,82,1,0,2,9,8,1060,1,-1,0,3,1,1,0,17.666666666666668,2026-05-19 20:30:15
40,1,1,1,0,10,1,0,2,9,8,450,2,-1,0,3,1,1,0,7.5,2026-05-19 20:30:15
33,1,0,0,0,390,1,0,2,9,8,1072,2,-1,0,3,1,1,0,17.866666666666667,2026-05-19 20:30:15
32,4,2,2,0,311,0,0,2,12,8,1173,2,-1,0,3,1,1,0,19.55,2026-05-19 20:30:15
35,1,1,0,0,414,0,0,2,13,8,894,4,-1,0,3,1,1,0,14.9,2026-05-19 20:30:15
33,4,0,1,0,5,1,0,2,13,8,281,1,-1,0,3,1,1,0,4.683333333333334,2026-05-19 20:30:15
38,4,1,2,0,119,1,0,2,13,8,964,4,-1,0,3,1,1,0,16.066666666666666,2026-05-19 20:30:15
23,2,2,0,0,4,1,0,2,13,8,772,2,-1,0,3,1,1,0,12.866666666666667,2026-05-19 20:30:15
60,1,1,0,0,1262,1,1,2,13,8,17,1,-1,0,3,1,1,1,0.2833333333333333,2026-05-19 20:30:15
48,4,1,2,0,1949,1,0,2,13,8,1092,2,-1,0,3,1,1,0,18.2,2026-05-19 20:30:15
45,2,0,2,0,-395,1,0,2,13,8,856,1,-1,0,3,1,1,0,14.266666666666667,2026-05-19 20:30:15
36,1,1,1,0,1165,1,0,2,13,8,3,4,-1,0,3,1,1,0,0.05,2026-05-19 20:30:15
52,4,1,3,0,2240,1,0,2,13,8,1268,1,-1,0,3,1,1,0,21.133333333333333,2026-05-19 20:30:15
35,1,0,0,0,300,1,0,2,13,8,1374,2,-1,0,3,1,1,0,22.9,2026-05-19 20:30:15
43,9,1,1,0,3285,1,0,2,13,8,460,2,-1,0,3,1,1,0,7.666666666666667,2026-05-19 20:30:15
52,3,1,1,0,3923,1,0,2,14,8,1371,3,-1,0,3,1,1,0,22.85,2026-05-19 20:30:15
53,9,0,0,0,1443,1,0,2,14,8,862,1,-1,0,3,1,1,0,14.366666666666667,2026-05-19 20:30:15
48,1,0,0,0,24,1,0,2,14,8,1255,1,-1,0,3,1,1,0,20.916666666666668,2026-05-19 20:30:15
